"","old_game_id","play_id","kick_distance","roof","surface","wind","success","Humidity","Precipitation","WindDirection","Pressure","efg"
"1",2000090300,2771,32,0,1,3,1,77,0,200,29.8902,0.921205937862396
"2",2000090301,467,23,0,0,8,1,94,0,350,29.9641,0.970352470874786
"3",2000090301,1810,26,0,0,8,1,94,0,350,29.9641,0.971006631851196
"4",2000090301,2027,33,0,0,8,1,94,0,350,29.9641,0.906785249710083
"5",2000090301,2250,45,0,0,8,0,94,0,350,29.9641,0.814709067344666
"6",2000090302,646,29,0,1,0,1,88,0,170,29.9198,0.898886144161224
"7",2000090302,1656,27,0,1,0,0,88,0,170,29.9198,0.907817602157593
"8",2000090302,2483,24,0,1,0,1,88,0,170,29.9198,0.958440184593201
"9",2000090302,3367,21,0,1,0,1,88,0,170,29.9198,0.981749534606934
"10",2000090303,223,35,1,0,0,1,0,0,350,29.9966,0.9227374792099
"11",2000090303,687,38,1,0,0,1,0,0,350,29.9966,0.886675953865051
"12",2000090303,1329,29,1,0,0,1,0,0,350,29.9966,0.968592405319214
"13",2000090303,1509,45,1,0,0,1,0,0,350,29.9966,0.862136781215668
"14",2000090303,1809,49,1,0,0,1,0,0,350,29.9966,0.755545973777771
"15",2000090400,808,32,1,0,0,1,0,0,40,30.0586,0.948814570903778
"16",2000090400,1899,38,1,0,0,1,0,0,40,30.0586,0.876215696334839
"17",2000090400,2941,36,1,0,0,1,0,0,40,30.0586,0.905687570571899
"18",2000090304,1392,24,1,0,0,1,0,0,0,29.846,0.97546374797821
"19",2000090304,1676,30,1,0,0,1,0,0,0,29.846,0.927030563354492
"20",2000090304,2929,48,1,0,0,1,0,0,0,29.846,0.743678331375122
"21",2000090305,2892,23,0,1,5,1,50,NA,90,29.8725,0.978054165840149
"22",2000090305,3408,40,0,1,5,1,50,NA,90,29.8725,0.86699253320694
"23",2000090306,1755,50,0,1,6,1,77,0,70,29.9523,0.599902153015137
"24",2000090306,2572,25,0,1,6,1,77,0,70,29.9523,0.975955605506897
"25",2000090307,887,52,0,1,5,0,67,0,310,29.8902,0.570695757865906
"26",2000090307,1404,45,0,1,5,1,67,0,310,29.8902,0.7424236536026
"27",2000090307,1890,23,0,1,5,1,67,0,310,29.8902,0.979049205780029
"28",2000090307,2371,48,0,1,5,0,67,0,310,29.8902,0.646452307701111
"29",2000090307,2643,42,0,1,5,1,67,0,310,29.8902,0.846704661846161
"30",2000090307,3181,39,0,1,5,1,67,0,310,29.8902,0.87741082906723
"31",2000090307,3347,42,0,1,5,1,67,0,310,29.8902,0.846704661846161
"32",2000090308,1410,33,0,0,5,1,20,0,NA,29.8046,0.93247401714325
"33",2000090308,1691,34,0,0,5,1,20,0,NA,29.8046,0.928293704986572
"34",2000090308,2079,38,0,0,5,1,20,0,NA,29.8046,0.911872744560242
"35",2000090308,2432,37,0,0,5,1,20,0,NA,29.8046,0.919493556022644
"36",2000090309,1734,41,0,1,10,0,61,0,270,30.0556,0.811035394668579
"37",2000090311,606,48,0,1,13,1,63,0,110,29.8696,0.589013576507568
"38",2000090311,820,25,0,1,13,1,63,0,110,29.8696,0.974789321422577
"39",2000090311,1029,30,0,1,13,1,63,0,110,29.8696,0.908127427101135
"40",2000090311,1413,52,0,1,13,0,63,0,110,29.8696,0.543029189109802
"41",2000090310,396,43,1,0,0,1,0,0,NA,29.8932,0.775533080101013
"42",2000090310,752,44,1,0,0,1,0,0,NA,29.8932,0.750039160251617
"43",2000090310,1181,24,1,0,0,1,0,0,NA,29.8932,0.97546374797821
"44",2000090310,1442,44,1,0,0,1,0,0,NA,29.8932,0.750039160251617
"45",2000090310,2151,48,1,0,0,1,0,0,NA,29.8932,0.72540009021759
"46",2000090312,241,30,0,1,5,1,90,0,100,29.9345,0.939378559589386
"47",2000090312,1952,55,0,1,5,0,90,0,100,29.9345,0.422100603580475
"48",2000090313,1468,38,0,0,10,1,71,0,190,29.8371,0.901920735836029
"49",2000090313,1783,51,0,0,10,0,71,0,190,29.8371,0.601194083690643
"50",2000090313,1979,27,0,0,10,1,71,0,190,29.8371,0.970435440540314
"51",2000090313,2803,42,0,0,10,1,71,0,190,29.8371,0.857299625873566
"52",2000090313,3135,41,0,0,10,1,71,0,190,29.8371,0.856762170791626
"53",2000090313,4192,33,0,0,10,1,71,0,190,29.8371,0.915103197097778
"54",2000090313,4302,60,0,0,10,0,71,0,190,29.8371,0.328218847513199
"55",2000091000,519,29,0,1,10,1,13,0,180,29.7131,0.905288517475128
"56",2000091000,819,51,0,1,10,1,13,0,180,29.7131,0.711427748203278
"57",2000091001,2517,24,0,1,6,1,65,0,0,29.9316,0.980943620204926
"58",2000091002,612,50,0,1,10,0,61,0,120,29.9966,0.642243087291718
"59",2000091002,1066,23,0,1,10,1,61,0,120,29.9966,0.977438867092133
"60",2000091002,1424,47,0,1,10,1,61,0,120,29.9966,0.74770975112915
"61",2000091002,3250,42,0,1,10,0,61,0,120,29.9966,0.768583238124847
"62",2000091003,2502,30,0,1,5,1,91,0.031,170,30.1029,0.923271059989929
"63",2000091013,277,19,0,1,7,1,27,0,270,29.7751,0.980438351631165
"64",2000091013,1663,54,0,1,7,1,27,0,270,29.7751,0.6256422996521
"65",2000091013,2012,44,0,1,7,1,27,0,270,29.7751,0.815792322158813
"66",2000091013,2466,35,0,1,7,1,27,0,270,29.7751,0.868450939655304
"67",2000091013,3006,51,0,1,7,1,27,0,270,29.7751,0.69564014673233
"68",2000091004,1756,45,0,0,8,1,64,0,210,30.0822,0.748820126056671
"69",2000091004,2364,20,0,0,8,1,64,0,210,30.0822,0.982022285461426
"70",2000091004,2702,24,0,0,8,1,64,0,210,30.0822,0.977590680122375
"71",2000091005,225,36,0,1,5,1,71,0,110,30.1619,0.910827934741974
"72",2000091005,1668,45,0,1,5,1,71,0,110,30.1619,0.744008779525757
"73",2000091005,2014,48,0,1,5,1,71,0,110,30.1619,0.685659766197205
"74",2000091005,2813,34,0,1,5,1,71,0,110,30.1619,0.906887531280518
"75",2000091005,3718,44,0,1,5,1,71,0,110,30.1619,0.744008779525757
"76",2000091005,3916,48,0,1,5,1,71,0,110,30.1619,0.685659766197205
"77",2000091006,2233,36,0,1,13,0,67,0,170,30.091,0.845518231391907
"78",2000091006,3891,36,0,1,13,1,67,0,170,30.091,0.845518231391907
"79",2000091007,594,28,1,0,0,1,0,0,90,29.8725,0.948232710361481
"80",2000091007,2670,49,1,0,0,1,0,0,90,29.8725,0.707200765609741
"81",2000091100,266,32,0,1,5,1,84,0,170,30.097,0.885336518287659
"82",2000091100,918,35,0,1,5,1,84,0,170,30.097,0.890231609344482
"83",2000091100,1055,30,0,1,5,1,84,0,170,30.097,0.882057726383209
"84",2000091100,1606,33,0,1,5,1,84,0,170,30.097,0.852057278156281
"85",2000091100,2383,29,0,1,5,0,84,0,170,30.097,0.882057726383209
"86",2000091008,495,42,0,1,8,1,61,0,280,29.9139,0.769278824329376
"87",2000091008,1833,20,0,1,8,1,61,0,280,29.9139,0.980438351631165
"88",2000091008,2157,20,0,1,8,1,61,0,280,29.9139,0.980438351631165
"89",2000091008,2945,31,0,1,8,1,61,0,280,29.9139,0.943733811378479
"90",2000091008,3402,49,0,1,8,1,61,0,280,29.9139,0.694487810134888
"91",2000091009,615,32,0,0,6,1,77,0,70,30.159,0.949855506420135
"92",2000091009,1005,36,0,0,6,1,77,0,70,30.159,0.87797749042511
"93",2000091009,1442,33,0,0,6,1,77,0,70,30.159,0.943922162055969
"94",2000091009,2334,29,0,0,6,1,77,0,70,30.159,0.94831395149231
"95",2000091009,3065,44,0,0,6,1,77,0,70,30.159,0.749590218067169
"96",2000091009,3358,23,0,0,6,1,77,0,70,30.159,0.978255808353424
"97",2000091010,775,50,1,0,0,0,0,0,190,30.0497,0.688961088657379
"98",2000091010,1326,47,1,0,0,0,0,0,190,30.0497,0.750744938850403
"99",2000091010,1904,31,1,0,0,1,0,0,190,30.0497,0.956897914409637
"100",2000091010,2357,24,1,0,0,1,0,0,190,30.0497,0.9748575091362
"101",2000091011,499,19,0,0,3,1,100,0.012,20,29.905,0.983876526355743
"102",2000091011,727,48,0,0,3,1,100,0.012,20,29.905,0.721592903137207
"103",2000091011,1296,48,0,0,3,1,100,0.012,20,29.905,0.721592903137207
"104",2000091011,2525,43,0,0,3,1,100,0.012,20,29.905,0.792255640029907
"105",2000091011,3652,27,0,0,3,1,100,0.012,20,29.905,0.941057503223419
"106",2000091012,360,49,1,0,0,1,0,0,200,29.9286,0.713692665100098
"107",2000091012,914,20,1,0,0,1,0,0,200,29.9286,0.98148900270462
"108",2000091012,2120,54,1,0,0,1,0,0,200,29.9286,0.654592275619507
"109",2000091012,2333,26,1,0,0,1,0,0,200,29.9286,0.969001591205597
"110",2000091012,2609,37,1,0,0,1,0,0,200,29.9286,0.902958273887634
"111",2000091012,2935,35,1,0,0,1,0,0,200,29.9286,0.922602891921997
"112",2000091700,306,31,0,1,3,1,60,0,NA,30.2121,0.956347644329071
"113",2000091700,733,50,0,1,3,0,60,0,NA,30.2121,0.773805558681488
"114",2000091700,1293,33,0,1,3,1,60,0,NA,30.2121,0.947610259056091
"115",2000091700,2112,47,0,1,3,0,60,0,NA,30.2121,0.770081162452698
"116",2000091700,3234,27,0,1,3,1,60,0,NA,30.2121,0.977378368377686
"117",2000091712,558,42,0,1,10,1,84,NA,NA,29.9345,0.802406668663025
"118",2000091712,934,41,0,1,10,1,84,NA,NA,29.9345,0.760449111461639
"119",2000091712,2287,27,0,1,10,1,84,NA,NA,29.9345,0.975184440612793
"120",2000091712,2701,33,0,1,10,1,84,NA,NA,29.9345,0.929972350597382
"121",2000091701,2330,51,0,1,12,1,52,0,260,30.0468,0.626892864704132
"122",2000091701,3253,33,0,1,12,0,52,0,260,30.0468,0.890180706977844
"123",2000091701,3703,27,0,1,12,1,52,0,260,30.0468,0.968011319637299
"124",2000091702,634,30,0,1,5,1,78,0.012,150,30.0143,0.903967261314392
"125",2000091702,1306,44,0,1,5,0,78,0.012,150,30.0143,0.725596189498901
"126",2000091702,1985,47,0,1,5,0,78,0.012,150,30.0143,0.709332525730133
"127",2000091702,2525,33,0,1,5,0,78,0.012,150,30.0143,0.85562801361084
"128",2000091702,3922,19,0,1,5,1,78,0.012,150,30.0143,0.980704188346863
"129",2000091800,2079,32,0,1,8,1,84,0,140,30.094,0.930618166923523
"130",2000091800,3668,38,0,1,8,1,84,0,140,30.094,0.828338146209717
"131",2000091703,556,24,0,1,9,1,51,0,280,29.8873,0.971859574317932
"132",2000091703,1178,19,0,1,9,1,51,0,280,29.8873,0.980438351631165
"133",2000091703,2413,32,0,1,9,1,51,0,280,29.8873,0.917329728603363
"134",2000091703,2740,22,0,1,9,1,51,0,280,29.8873,0.980438351631165
"135",2000091703,2965,49,0,1,9,0,51,0,280,29.8873,0.694487810134888
"136",2000091703,3198,21,0,1,9,1,51,0,280,29.8873,0.980438351631165
"137",2000091704,1659,44,0,1,15,0,46,0,240,29.8755,0.668082118034363
"138",2000091705,1041,37,0,0,3,0,81,0,180,30.2328,0.880390763282776
"139",2000091705,1876,31,0,0,3,1,81,0,180,30.2328,0.871333837509155
"140",2000091705,2800,45,0,0,3,1,81,0,180,30.2328,0.739585757255554
"141",2000091706,856,49,0,1,8,0,39,0,290,29.9729,0.694487810134888
"142",2000091706,1115,34,0,1,8,0,39,0,290,29.9729,0.824288070201874
"143",2000091707,630,43,0,1,9,1,61,0,310,29.97,0.747767329216003
"144",2000091707,810,40,0,1,9,0,61,0,310,29.97,0.822781443595886
"145",2000091707,1040,37,0,1,9,1,61,0,310,29.97,0.851311504840851
"146",2000091707,1580,38,0,1,9,1,61,0,310,29.97,0.836277842521667
"147",2000091708,1661,41,0,1,12,1,54,0,230,30.0733,0.779523909091949
"148",2000091708,1948,31,0,1,12,1,54,0,230,30.0733,0.89537113904953
"149",2000091708,2111,23,0,1,12,1,54,0,230,30.0733,0.977117240428925
"150",2000091708,2770,28,0,1,12,1,54,0,230,30.0733,0.931266784667969
"151",2000091708,3289,19,0,1,12,1,54,0,230,30.0733,0.980158627033234
"152",2000091710,275,47,1,0,0,1,0,0,240,30.1619,0.778916954994202
"153",2000091710,1040,21,1,0,0,1,0,0,240,30.1619,0.98148900270462
"154",2000091710,2633,25,1,0,0,1,0,0,240,30.1619,0.9748575091362
"155",2000091711,157,38,1,0,0,1,0,0,240,29.9493,0.852782547473907
"156",2000091711,1110,34,1,0,0,0,0,0,240,29.9493,0.896288633346558
"157",2000091711,2020,38,1,0,0,0,0,0,240,29.9493,0.852782547473907
"158",2000091711,2653,24,1,0,0,1,0,0,240,29.9493,0.9748575091362
"159",2000092400,289,30,0,1,5,1,79,0,300,29.778,0.92961597442627
"160",2000092400,2510,37,0,1,5,1,79,0,300,29.778,0.863579094409943
"161",2000092400,3565,19,0,1,5,1,79,0,300,29.778,0.980704188346863
"162",2000092401,1323,42,0,1,5,0,59,0,300,30.0733,0.837122023105621
"163",2000092401,2406,29,0,1,5,1,59,0,300,30.0733,0.951546132564545
"164",2000092401,2690,37,0,1,5,1,59,0,300,30.0733,0.857361137866974
"165",2000092401,3024,31,0,1,5,1,59,0,300,30.0733,0.951546132564545
"166",2000092403,1146,31,0,1,6,1,17,0,40,29.9523,0.933998882770538
"167",2000092403,1446,38,0,1,6,1,17,0,40,29.9523,0.858359813690186
"168",2000092403,2119,47,0,1,6,1,17,0,40,29.9523,0.743742048740387
"169",2000092403,2532,48,0,1,6,1,17,0,40,29.9523,0.743933618068695
"170",2000092403,2886,37,0,1,6,1,17,0,40,29.9523,0.87097179889679
"171",2000092403,3042,22,0,1,6,1,17,0,40,29.9523,0.980973422527313
"172",2000092500,2598,41,1,0,0,1,0,0,0,30.0349,0.833082556724548
"173",2000092500,3150,22,1,0,0,1,0,0,0,30.0349,0.980906903743744
"174",2000092404,630,22,0,1,8,1,72,0,290,30.348,0.979167938232422
"175",2000092404,1069,20,0,1,8,1,72,0,290,30.348,0.979167938232422
"176",2000092404,1505,50,0,1,8,0,72,0,290,30.348,0.582199037075043
"177",2000092404,2362,43,0,1,8,1,72,0,290,30.348,0.702854871749878
"178",2000092404,3065,42,0,1,8,1,72,0,290,30.348,0.759303271770477
"179",2000092405,709,40,0,1,12,1,63,0,100,29.9611,0.843976557254791
"180",2000092405,1670,43,0,1,12,1,63,0,100,29.9611,0.652833640575409
"181",2000092405,2820,53,0,1,12,0,63,0,100,29.9611,0.543029189109802
"182",2000092406,450,22,0,1,9,1,88,0.22,90,29.8991,0.979834139347076
"183",2000092406,699,41,0,1,9,1,88,0.22,90,29.8991,0.710295796394348
"184",2000092406,1641,27,0,1,9,1,88,0.22,90,29.8991,0.963528156280518
